Home_Past3_Form,Home_Past5_Form,Home_Streak,Home_Current_Standing,Home_Past_Standing,Home_Goals_Per_Game,Home_Shots_Per_Game,Home_SOT_Per_Game,Home_Corners_Per_Game,Home_Fouls_Per_Game,Home_Reds_Last2,Home_Yellows_Last2,Home_Goals_Against_Per_Game,Home_Shots_Against_Per_Game,Home_SOT_Against_Per_Game,Home_Corners_Against_Per_Game,Home_Fouls_Against_Per_Game,Away_Past3_Form,Away_Past5_Form,Away_Streak,Away_Current_Standing,Away_Past_Standing,Away_Goals_Per_Game,Away_Shots_Per_Game,Away_SOT_Per_Game,Away_Corners_Per_Game,Away_Fouls_Per_Game,Away_Goals_Against_Per_Game,Away_Shots_Against_Per_Game,Away_SOT_Against_Per_Game,Away_Corners_Against_Per_Game,Away_Fouls_Against_Per_Game,Away_Reds_Last2,Away_Yellows_Last2,Home_H2H_Past3,Home_H2H_Past5,Away_H2H_Past3,Away_H2H_Past5,Match_Result
0,-2,0,10,7,1.08,10.8,5.8,4.96,11.08,0,0,1.12,11.32,5.76,5.64,11.96,-1,-3,1,16,21,1.04,9.88,5.58,4.79,11.21,1.96,15.04,8.71,5.46,11.88,0,3,0,0,0,0,1
-1,1,-1,7,10,1.96,12.35,6.74,6.65,10.96,0,5,1.39,11.39,5.74,5.7,12.09,0,-2,0,17,13,1.26,12.7,6.57,4.87,13.39,1.91,15.09,8.96,7.61,11.83,0,3,0,0,0,0,1
-3,-4,-3,20,14,0.79,12.88,6.92,5.12,14.04,0,5,1.71,12.21,6.38,7.25,11.71,-1,-2,0,13,16,1.29,10.0,5.62,5.04,13.83,1.71,13.58,6.88,6.67,11.67,0,6,0,0,0,0,0
-2,-2,0,15,11,1.09,13.35,7.04,4.26,12.91,0,5,2.09,13.65,7.74,6.09,12.57,1,1,1,11,12,0.96,9.0,4.61,5.0,13.04,1.13,12.61,7.48,6.65,9.96,0,5,0,0,0,0,0
-2,0,-2,3,4,2.4,14.88,8.72,7.16,11.0,0,3,1.2,8.52,4.68,3.56,13.36,2,3,2,5,2,1.72,13.6,7.84,7.36,12.2,1.04,8.44,4.88,3.84,12.48,1,4,1,1,-1,-1,1
1,0,0,7,6,1.29,11.04,6.0,6.04,13.71,0,2,0.75,13.96,7.92,6.71,11.67,3,4,4,2,1,2.44,17.12,9.76,8.56,11.24,0.8,9.72,5.24,3.04,11.72,0,1,1,1,-1,-1,0
0,0,-1,12,15,1.0,11.2,5.92,4.76,14.0,1,4,1.72,12.56,7.44,5.2,11.84,1,0,1,15,17,1.0,8.8,4.84,4.28,13.88,2.0,16.24,9.0,7.56,14.04,0,3,0,0,0,0,1
1,2,-1,10,5,1.38,13.17,7.62,6.12,12.79,1,5,1.46,11.42,6.83,5.29,14.17,2,4,1,1,3,2.4,19.4,10.6,8.36,10.92,0.8,8.12,4.08,4.4,12.32,0,5,0,0,0,0,1
-1,-2,-1,19,9,1.25,12.33,7.0,4.83,12.58,0,1,1.67,15.21,8.5,7.21,13.33,0,1,1,8,21,1.0,9.58,5.71,4.83,9.79,1.0,16.08,8.46,7.21,13.33,0,9,-1,-1,1,1,1
-1,-3,-1,19,21,0.83,10.33,5.75,5.46,12.75,0,3,1.75,12.79,7.75,5.38,11.21,1,0,0,6,8,1.8,16.4,9.52,6.08,11.28,1.0,12.12,6.6,4.88,13.12,0,2,1,1,-1,-1,1
1,2,0,12,12,0.96,9.04,4.67,5.0,12.79,0,5,1.12,12.75,7.62,6.75,10.04,1,1,1,4,10,1.96,12.17,6.62,6.62,10.83,1.33,11.38,5.71,5.58,12.33,0,4,-1,-1,1,1,0
-1,-1,0,14,11,1.08,13.46,7.21,4.46,12.88,0,7,2.04,13.5,7.67,6.04,12.33,-2,-2,-1,19,13,1.21,12.62,6.5,4.79,13.58,1.92,14.79,8.75,7.54,11.67,0,2,0,0,0,0,0
-1,0,1,3,4,2.35,14.73,8.62,7.0,11.31,0,5,1.15,8.54,4.77,3.65,13.35,0,-2,0,13,16,1.28,9.88,5.48,5.0,13.88,1.68,13.52,6.84,6.72,11.6,2,5,-1,-1,1,1,1
1,3,1,9,5,1.4,12.92,7.52,6.08,12.8,1,4,1.44,11.52,6.76,5.32,14.2,2,4,0,2,1,2.38,16.92,9.62,8.5,11.19,0.81,9.73,5.27,2.96,11.62,1,2,-1,-1,1,1,1
-2,-3,0,20,14,0.8,12.84,6.88,5.24,13.88,1,7,1.68,12.0,6.2,7.12,11.84,1,1,0,12,12,0.96,9.0,4.68,4.92,13.12,1.12,12.6,7.44,6.6,10.2,1,6,-1,-1,1,1,-1
0,0,1,17,9,1.28,12.36,7.12,4.76,12.56,0,2,1.6,14.96,8.32,7.16,13.16,0,-1,-1,15,17,0.96,8.73,4.81,4.35,13.85,1.96,16.38,9.04,7.5,14.04,1,5,0,0,0,0,1
0,-1,1,17,21,0.84,10.24,5.68,5.44,12.84,0,5,1.68,12.68,7.6,5.44,11.16,0,2,-1,1,3,2.35,19.19,10.38,8.27,11.08,0.85,8.08,4.12,4.42,12.35,0,4,-1,-1,1,1,-1
