AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Date,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Referee,VCA,VCD,VCH,WHA,WHD,WHH
10,7,0,27,17,1,Chelsea,1.4,4.33,9.0,1.4,4.2,7.75,31/10/09,E0,4,0,A,8,9,1,15,6,1,0,A,1,Bolton,1.45,4.0,7.0,P Walton,1.44,3.75,8.0,1.4,4.33,8.5
1,13,1,8,6,4,Hull,4.2,3.4,1.91,3.95,3.3,1.9,31/10/09,E0,0,2,H,8,12,0,11,5,0,1,H,1,Burnley,3.9,3.3,1.9,M Jones,3.8,3.3,1.91,4.0,3.4,1.91
4,16,1,13,8,3,Aston Villa,2.88,3.25,2.5,2.8,3.25,2.4,31/10/09,E0,1,1,D,3,15,1,9,4,0,1,H,1,Everton,2.8,3.3,2.4,L Probert,2.7,3.25,2.5,2.9,3.3,2.4
2,13,2,6,3,0,Liverpool,1.91,3.4,4.2,1.85,3.35,4.1,31/10/09,E0,1,3,H,2,10,0,10,6,1,1,D,1,Fulham,1.9,3.3,3.9,L Mason,1.83,3.25,4.33,1.85,3.4,4.33
2,21,0,2,1,2,Blackburn,19.0,7.0,1.17,14.0,7.0,1.15,31/10/09,E0,0,2,H,7,10,0,20,11,0,0,D,0,Man United,15.0,6.0,1.17,P Dowd,17.0,6.0,1.17,19.0,6.5,1.17
4,10,0,8,3,1,Wigan,3.0,3.3,2.38,2.75,3.3,2.4,31/10/09,E0,0,4,H,7,11,0,21,11,0,2,H,0,Portsmouth,2.9,3.3,2.3,A Wiley,2.8,3.25,2.4,2.9,3.3,2.38
3,15,0,11,7,3,Wolves,4.2,3.4,1.91,4.0,3.25,1.9,31/10/09,E0,2,2,D,4,13,0,10,5,0,2,H,0,Stoke,3.7,3.4,1.9,C Foy,4.0,3.4,1.85,4.0,3.4,1.91
3,16,1,15,9,3,West Ham,4.0,3.3,2.0,3.8,3.4,1.9,31/10/09,E0,2,2,D,7,12,1,17,7,2,1,A,3,Sunderland,3.9,3.3,1.9,A Marriner,3.75,3.4,1.91,4.0,3.3,1.95
8,8,0,14,6,1,Man City,1.83,3.6,4.33,1.75,3.6,4.25,01/11/09,E0,0,0,D,4,9,1,7,4,0,0,D,3,Birmingham,1.9,3.4,3.7,M Dean,1.73,3.4,4.33,1.83,3.5,4.33
14,12,1,13,10,4,Aston Villa,2.63,3.3,2.75,2.45,3.2,2.75,04/11/09,E0,1,2,H,6,11,0,14,7,0,1,H,2,West Ham,2.5,3.2,2.7,S Bennett,2.6,3.2,2.6,2.62,3.3,2.62
1,16,0,13,9,4,Bolton,4.75,3.5,1.8,4.6,3.6,1.7,07/11/09,E0,1,5,H,8,17,0,19,13,1,2,H,1,Aston Villa,4.6,3.5,1.75,M Clattenburg,4.33,3.4,1.8,5.0,3.5,1.73
