GameNumber,HomeTeam,AwayTeam,Home_Past3_Form,Home_Past5_Form,Home_Streak,Home_Current_Standing,Home_Past_Standing,Home_Goals_Per_Game,Home_Shots_Per_Game,Home_SOT_Per_Game,Home_Corners_Per_Game,Home_Fouls_Per_Game,Home_Reds_Last2,Home_Yellows_Last2,Away_Past3_Form,Away_Past5_Form,Away_Streak,Away_Current_Standing,Away_Past_Standing,Away_Goals_Per_Game,Away_Shots_Per_Game,Away_SOT_Per_Game,Away_Corners_Per_Game,Away_Fouls_Per_Game,Away_Reds_Last2,Away_Yellows_Last2,Home_H2H_Past3,Home_H2H_Past5,Away_H2H_Past3,Away_H2H_Past5,Home_Goals,Away_Goals,Match_Result
714,Sunderland,West Brom,-1,-1,1,19,8,1.25,11.08,3.17,3.75,12.0,0,4,0,-1,-1,16,13,1.0,11.73,3.73,5.0,10.53,0,6,-1,-1,1,1,2,0,1
715,Cardiff,Chelsea,-1,-1,-1,18,21,0.53,11.4,3.47,5.33,8.47,0,0,2,3,0,2,3,2.27,16.53,5.8,6.27,10.6,0,1,0,0,0,0,1,2,-1
716,Fulham,Crystal Palace,1,-1,-1,14,16,1.2,13.2,4.87,6.13,10.07,0,3,2,1,0,10,21,1.14,11.29,3.93,5.29,10.93,0,2,0,0,0,0,2,2,0
717,Hull,Everton,-1,-3,-2,16,14,0.87,11.0,2.87,3.67,10.73,0,1,1,1,-1,7,8,1.15,14.15,3.92,6.15,9.23,0,1,-1,-1,1,1,0,2,-1
718,Liverpool,Newcastle,2,4,0,2,6,2.8,18.4,7.33,5.47,11.27,0,3,-1,-1,1,12,12,0.93,14.79,5.36,4.71,12.5,0,2,0,-1,0,1,2,1,1
719,Man City,West Ham,3,2,3,3,4,2.54,17.85,5.54,7.46,9.85,0,4,-1,1,1,11,5,1.31,11.92,3.46,5.77,9.62,0,4,2,2,-2,-2,2,0,1
720,Norwich,Arsenal,-2,-3,0,20,11,0.73,11.73,3.93,4.53,10.6,0,6,-1,-2,1,9,7,1.0,14.31,5.0,5.85,10.31,0,4,0,0,0,0,0,2,-1
721,Southampton,Man United,-1,-1,1,8,14,1.31,14.25,4.25,5.25,10.62,0,1,1,2,1,7,1,1.5,13.56,4.56,6.56,10.62,0,3,-1,-1,1,1,1,1,0
722,Sunderland,Swansea,1,-1,2,15,8,1.31,11.0,3.23,3.85,12.15,0,1,-2,-1,-2,19,9,1.07,13.2,3.73,5.67,9.27,0,3,0,0,0,0,1,3,-1
723,Tottenham,Aston Villa,0,0,-1,4,2,1.47,15.76,5.47,6.29,10.59,1,6,-1,-1,-1,13,10,1.07,11.36,3.79,4.57,11.86,0,2,2,2,-2,-2,3,0,1
724,West Brom,Stoke,-2,-2,-2,18,13,0.94,11.81,3.69,4.69,10.62,0,2,1,2,2,9,17,1.53,10.4,3.73,4.0,13.27,0,1,-1,-1,1,1,1,2,-1
